row,original_name,normalized_name,group_title,country_hint,matched,tvg_id,epg_source_section,confidence,method
1700,Telemetro HD ©,TELEMETRO,PANAMA,pa,True,Canal.13.de.Panamá.(Telemetro).pa,epg_ripper_PA1,94,fuzzy_country
1701,Telemetro HD,TELEMETRO,PANAMA,pa,True,Canal.13.de.Panamá.(Telemetro).pa,epg_ripper_PA1,94,fuzzy_country
1702,Telemetro HD,TELEMETRO,PANAMA,pa,True,Canal.13.de.Panamá.(Telemetro).pa,epg_ripper_PA1,94,fuzzy_country
1703,Telemetro,TELEMETRO,PANAMA,pa,True,Canal.13.de.Panamá.(Telemetro).pa,epg_ripper_PA1,94,fuzzy_country
1704,TVN 2 FHD,TVN 2,PANAMA,pa,False,,,88,review_required
1705,TVN 2 HD,TVN 2,PANAMA,pa,False,,,88,review_required
1706,TVN 2 HD,TVN 2,PANAMA,pa,False,,,88,review_required
1707,TV Max HD,TV MAX,PANAMA,pa,False,,,85,review_required
1708,TV Max,TV MAX,PANAMA,pa,False,,,85,review_required
1709,TV Max,TV MAX,PANAMA,pa,False,,,85,review_required
1710,Mas 23 HD,MAS 23,PANAMA,pa,False,,,83,review_required
1711,Mas 23 FHD (S),MAS 23 S,PANAMA,pa,False,,,83,review_required
1712,SerTV FHD,SERTV,PANAMA,pa,False,,,83,review_required
1713,SerTV,SERTV,PANAMA,pa,False,,,83,review_required
1714,ECO TV,ECO,PANAMA,pa,True,Eco.Channel.mn,epg_ripper_MN1,99,exact_name
1715,RPC,RPC,PANAMA,pa,False,,,94,review_required
1716,Hosanna Vision HD,HOSANNA VISION,PANAMA,pa,False,,,83,review_required
1717,Nex FHD,NEX,PANAMA,pa,False,,,83,review_required
1718,RPC FHD,RPC,PANAMA,pa,False,,,94,review_required
1719,Oye TV HD  ©,OYE TV,PANAMA,pa,False,,,83,review_required
1720,Tigo Sports HD  ©,TIGO SPORTS,PANAMA,pa,False,,,83,review_required
1721,Tigo Sports FHD,TIGO SPORTS,PANAMA,pa,False,,,83,review_required
1722,RPC HD,RPC,PANAMA,pa,False,,,94,review_required
1723,UNICOS,UNICOS,PANAMA,pa,False,,,83,review_required
1724,COS HD  ©,COS,PANAMA,pa,False,,,94,review_required
1725,COS FHD,COS,PANAMA,pa,False,,,94,review_required
1726,Bocas Tv,BOCAS,PANAMA,pa,False,,,83,review_required
1727,MC Pop & Country,MC POP AND COUNTRY,MUSICA,,False,,,90,review_required
1728,MC Country Hits,MC COUNTRY HITS,MUSICA,,False,,,90,review_required
1729,MC Metal,MC METAL,MUSICA,,False,,,90,review_required
1730,MC 80's,MC 80 S,MUSICA,,False,,,90,review_required
1731,MC Soft Rock,MC SOFT ROCK,MUSICA,,False,,,90,review_required
1732,V Classic Tv,V CLASSIC,PERU,pe,False,,,90,review_required
1733,Mi Turno Tv,MI TURNO,R. DOMINICANA,do,False,,,83,review_required
1734,Monterrico TV,MONTERRICO,DEPORTES PERU,pe,False,,,83,review_required
1735,Dreamworks HD,DREAMWORKS,INFANTILES,,True,DREAMWORKS.HD.ph,epg_ripper_PH1,99,exact_name
1736,Canal 25,,R. DOMINICANA,do,False,,,0,empty_name
1737,Girasol TV,GIRASOL,HONDURAS,hn,False,,,83,review_required
1738,TVH,TVH,R. DOMINICANA,do,False,,,83,review_required
1739,Antena 3 Latinoamerica,ANTENA 3 LATINOAMERICA,ENTRETENIMIENTO,,False,,,90,review_required
1740,TLNOVELAS | AR,TLNOVELAS AR,ENTRETENIMIENTO,,False,,,95,review_required
1741,SITV,SITV,HONDURAS,hn,False,,,83,review_required
1742,TV Latina de Montero,TV DE MONTERO,BOLIVIA,bo,False,,,83,review_required
1743,BOL : RED UNO COCHABANBA HD.,BOL RED UNO COCHABANBA,BOLIVIA,bo,False,,,83,review_required
1744,BOL : RED UNO SANTA CRUZ HD.,BOL RED UNO SANTA CRUZ,BOLIVIA,bo,False,,,0,no_candidate
1745,BOL : RED UNO LA PAZ HD.,BOL RED UNO LA PAZ,BOLIVIA,bo,False,,,0,no_candidate
1746,BOL : BOLIVISION HD,BOL BOLIVISION,BOLIVIA,bo,False,,,83,review_required
1747,BOL : UNITEL SANTA CRUZ HD.,BOL UNITEL SANTA CRUZ,BOLIVIA,bo,False,,,0,no_candidate
